Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
IPSA68 - TECNICAS DE OBSERVACAO,10100.0,313.0,35.0,SEX,13:00 Ã s 14:50,Shiniata Alvaia de Menezes
,,,,,14:50 Ã s 16:40,Shiniata Alvaia de Menezes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA71 - TOPICOS ESPECIAIS EM PSICANALISE I,10000.0,327.0,15.0,QUA,13:00 Ã s 16:40,Maria Angelia Teixeira
,,313.0,35.0,,,Maria Angelia Teixeira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA72 - TOPICOS ESPECIAIS EM PSICANALISE IV,10000.0,313.0,35.0,TER,13:00 Ã s 16:40,Analicea de Souza Calmon Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA74 - TOPICOS ESPECIAIS EM PSICOLOGIA I,10000.0,387.0,5.0,TER,13:00 Ã s 16:40,Betty Malin
,,327.0,10.0,,,Betty Malin
,,313.0,35.0,,,Betty Malin
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA75 - TOPICOS ESPECIAIS EM PSICOLOGIA II,10100.0,387.0,2.0,TER,13:00 Ã s 14:50,Rosita Barral Santos Barros
,,327.0,3.0,,,Rosita Barral Santos Barros
,,313.0,45.0,,,Rosita Barral Santos Barros
,,387.0,2.0,,14:50 Ã s 16:40,Rosita Barral Santos Barros
,,327.0,3.0,,,Rosita Barral Santos Barros
,,313.0,45.0,,,Rosita Barral Santos Barros
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA76 - TOPICOS ESPECIAIS EM PSICOLOGIA III,10000.0,313.0,45.0,SEG,08:50 Ã s 09:45,Ilka Dias Bichara
,,,,,09:45 Ã s 10:40,Ilka Dias Bichara
,,,,,10:40 Ã s 11:35,Ilka Dias Bichara
,,,,,11:35 Ã s 12:30,Ilka Dias Bichara
,,,,,,
,,,,,,
,,,,,,
,,,,,,
