Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIO583 - ECOLOGIA DE CAMPO,10100.0,248.0,25.0,CMB,00:00 Ã s 23:00,Francisco Carlos Rocha de Barros Junior
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIO584 - BIOESTATISTICA,10100.0,248.0,30.0,CMB,00:00 Ã s 23:00,Eduardo Mariano Neto
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIO585 - SEMINARIOS EM ECOLOGIA E BIOMONITORAMENTO,10000.0,248.0,30.0,CMB,00:00 Ã s 23:00,Ricardo Dobrovolski
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA05 - AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL,10000.0,347.0,50.0,SEX,18:30 Ã s 22:10,Docente nÃ£o informado pelo Departamento
,,,,CMB,00:00 Ã s 00:00,Docente nÃ£o informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA22 - COMUNICACAO CIENTIFICA,10000.0,264.0,20.0,CMB,00:00 Ã s 23:00,Iara Sordi Joachim Bravo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA24 - SEMINARIOS DE APRESENTACAO DE PROJETOS,10000.0,264.0,22.0,CMB,00:00 Ã s 23:00,Blandina Felipe Viana
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA26 - DELINEAMENTO AMOSTRAL,10100.0,248.0,30.0,CMB,00:00 Ã s 23:00,Pedro Luis Bernardo da Rocha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA27 - EXAME DE QUALIFICACAO,10000.0,264.0,15.0,CMB,00:00 Ã s 23:00,Mauro Ramalho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA33 - EVOLUCAO E BIOGEOGRAFIA,10000.0,280.0,15.0,QUA,13:55 Ã s 16:40,Ricardo Dobrovolski
,,202.0,15.0,,,Ricardo Dobrovolski
,,280.0,15.0,,,Henrique Batalha Filho
,,202.0,15.0,,,Henrique Batalha Filho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA49 - FUNDAMENTOS DE REDACAO CIENTIFICA,10000.0,263.0,7.0,CMB,00:00 Ã s 23:00,Emilio de Lanna Neto
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOA73 - CONTRIBUIÃÃES DA HISTORIA E DA FILOSOFIA PARA O ENSINO DE CI,10000.0,142.0,30.0,SEX,14:50 Ã s 16:40,Charbel Nino El Hani
,,152.0,30.0,,,Charbel Nino El Hani
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIOB43 - AMBIENTE E SAÃDE,10000.0,297.0,22.0,CMB,00:00 Ã s 23:00,Carlos Eduardo Copatti
,20000.0,297.0,20.0,SAB,08:50 Ã s 10:40,Docente Visitante
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
